Model,accuracy,precision,recall,f1_score,roc_auc_score,mcc_score
Logistic Regression,0.8697068403908795,0.8703095818738869,0.8697068403908795,0.8699473527253635,0.9571967972690434,0.7986130108851058
Decision Tree,0.8592833876221498,0.8594051743027843,0.8592833876221498,0.8592808208976599,0.8915962357548392,0.7830597365914431
K-Nearest Neighbor,0.8729641693811075,0.8753078182899373,0.8729641693811075,0.8736558703051484,0.9649223571421621,0.804761158679696
Naive Bayes,0.8410423452768729,0.8436112185070752,0.8410423452768729,0.841902318036783,0.9388317639639895,0.7552189077858273
Random Forest,0.898371335504886,0.899932614457092,0.898371335504886,0.8988347408177991,0.9796539038063359,0.8437499795984583
XGBoost,0.9120521172638436,0.9128127310067484,0.9120521172638436,0.9122852644163898,0.984373004755042,0.8645638277674331
